Owned,Set Code,Set,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,PFL,Phantasmal Flames,Stamped Cards,,Genesect,Phantasmal Flames Stamp,US/Australia/New Zealand,Phantasmal Flames - Retailer Gift With Purchase,Card number to verify; Best Buy or Mr Toys or Toymate or JB Hi-Fi
,PFL,Phantasmal Flames,MCAP Cards,PFL001,Oddish,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Enhanced 2-Pack Blister: Oddish Gloom & Vileplume,
,PFL,Phantasmal Flames,MCAP Cards,PFL002,Gloom,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Enhanced 2-Pack Blister: Oddish Gloom & Vileplume,
,PFL,Phantasmal Flames,MCAP Cards,PFL003,Vileplume,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Enhanced 2-Pack Blister: Oddish Gloom & Vileplume,
,PFL,Phantasmal Flames,MCAP Cards,PFL014,Moltres,Non Holo,US/UK,Chaos Rising - Chaos Rising Blisters,Phantasmal Flames reprint
,PFL,Phantasmal Flames,MCAP Cards,PFL017,Reshiram,Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,Phantasmal Flames reprint
,PFL,Phantasmal Flames,MCAP Cards,PFL034,Pawmot,Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,Phantasmal Flames reprint
,PFL,Phantasmal Flames,MCAP Cards,PFL045,Zacian,Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,Phantasmal Flames reprint
,PFL,Phantasmal Flames,MCAP Cards,PFL053,Flygon,Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,Phantasmal Flames reprint
,POR,Perfect Order,Stamped Cards,POR024,Aurorus,Perfect Order Stamp,US,Perfect Order - Retailer Gift With Purchase,Hot Topic or Barnes & Noble
,POR,Perfect Order,Stamped Cards,POR027,Luxray,Perfect Order Stamp,US/Australia/New Zealand,Perfect Order - Retailer Gift With Purchase,Best Buy or JB Hi-Fi or Mr Toys or Toymate
,POR,Perfect Order,Stamped Cards,POR050,Gengar,EB Games Stamp,Canada/Australia,Perfect Order - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,POR,Perfect Order,Stamped Cards,POR050,Gengar,GameStop Stamp,US,Perfect Order - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,POR,Perfect Order,MCAP Cards,POR027,Luxray,Pixel Cosmos Holo,US/UK,Pitch Black - Pitch Black Blisters,Perfect Order reprint
,POR,Perfect Order,MCAP Cards,POR050,Gengar,Pixel Cosmos Holo,US/UK,Pitch Black - Pitch Black Blisters,Perfect Order reprint
