Generated Set Code,Printed Set Code,Category,Card Name,Card Number,Variant,Region,Override Set Code,Override Category,Exclude,Review Notes,Release Set,Product,Source Rows
SVP,SVP,Staff Cards,Metang,SVP090,Staff Stamp,US/UK,,,,,,Temporal Forces - Build & Battle Box,placeholders.csv:306
SVP,SVP,Staff Cards,Koraidon,SVP091,Staff Stamp,US/UK,,,,,,Temporal Forces - Build & Battle Box,placeholders.csv:307
SVP,SVP,Staff Cards,Miraidon,SVP092,Staff Stamp,US/UK,,,,,,Temporal Forces - Build & Battle Box,placeholders.csv:308
SVP,SVP,Staff Cards,Thwackey,SVP115,Staff Stamp,US/UK,,,,,,Twilight Masquerade - Build & Battle Box,placeholders.csv:370
SVP,SVP,Staff Cards,Infernape,SVP116,Staff Stamp,US/UK,,,,,,Twilight Masquerade - Build & Battle Box,placeholders.csv:371
SVP,SVP,Staff Cards,Froslass,SVP117,Staff Stamp,US/UK,,,,,,Twilight Masquerade - Build & Battle Box,placeholders.csv:372
SVP,SVP,Staff Cards,Tatsugiri,SVP118,Staff Stamp,US/UK,,,,,,Twilight Masquerade - Build & Battle Box,placeholders.csv:373
SVP,SVP,Staff Cards,Ledian,SVP133,Staff Stamp,US/UK,,,,,,Stellar Crown - Build & Battle Box,placeholders.csv:466
SVP,SVP,Staff Cards,Crabominable,SVP134,Staff Stamp,US/UK,,,,,,Stellar Crown - Build & Battle Box,placeholders.csv:467
SVP,SVP,Staff Cards,Drifblim,SVP135,Staff Stamp,US/UK,,,,,,Stellar Crown - Build & Battle Box,placeholders.csv:468
SVP,SVP,Staff Cards,Bouffalant,SVP136,Staff Stamp,US/UK,,,,,,Stellar Crown - Build & Battle Box,placeholders.csv:469
SVP,SVP,Staff Cards,Gouging Fire,SVP151,Staff Stamp,US/UK,,,,,,Surging Sparks - Build & Battle Box,placeholders.csv:525
SVP,SVP,Staff Cards,Chien-Pao,SVP152,Staff Stamp,US/UK,,,,,,Surging Sparks - Build & Battle Box,placeholders.csv:526
SVP,SVP,Staff Cards,Magneton,SVP153,Staff Stamp,US/UK,,,,,,Surging Sparks - Build & Battle Box,placeholders.csv:527
SVP,SVP,Staff Cards,Indeedee,SVP154,Staff Stamp,US/UK,,,,,,Surging Sparks - Build & Battle Box,placeholders.csv:528
SVP,SVP,Staff Cards,N's Darmanitan,SVP181,Staff Stamp,US/UK,,,,,,Journey Together - Build & Battle Box,placeholders.csv:618
SVP,SVP,Staff Cards,Iono's Kilowattrel,SVP182,Staff Stamp,US/UK,,,,,,Journey Together - Build & Battle Box,placeholders.csv:619
SVP,SVP,Staff Cards,Lillie's Ribombee,SVP183,Staff Stamp,US/UK,,,,,,Journey Together - Build & Battle Box,placeholders.csv:620
SVP,SVP,Staff Cards,Hop's Snorlax,SVP184,Staff Stamp,US/UK,,,,,,Journey Together - Build & Battle Box,placeholders.csv:621
SVP,SVP,Promo Cards,Sprigatito,SVP001,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Sprigatito Collection,placeholders.csv:2
SVP,SVP,Promo Cards,Fuecoco,SVP002,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Fuecoco Collection,placeholders.csv:6
SVP,SVP,Promo Cards,Quaxly,SVP003,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Quaxly Collection,placeholders.csv:10
SVP,SVP,Promo Cards,Mimikyu ex,SVP004,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Mimikyu ex Box,placeholders.csv:14
SVP,SVP,Promo Cards,Spidops,SVP009,Pixel Cosmos,US/UK,,,,,,Scarlet & Violet - Single Pack Blister (Reprint),placeholders.csv:31
SVP,SVP,Promo Cards,Spidops,SVP009,Smooth Cosmos,US/UK,,,,,,Scarlet & Violet - Single Pack Blister,placeholders.csv:30
SVP,SVP,Promo Cards,Espathra,SVP010,Smooth Cosmos,US/UK,,,,,,Scarlet & Violet - Single Pack Blister,placeholders.csv:32
SVP,SVP,Promo Cards,Arcanine,SVP011,Pixel Cosmos,US/UK,,,,,,Scarlet & Violet - 3-Pack Blister (Reprint),placeholders.csv:34
SVP,SVP,Promo Cards,Arcanine,SVP011,Smooth Cosmos,US/UK,,,,,,Scarlet & Violet - 3-Pack Blister,placeholders.csv:33
SVP,SVP,Promo Cards,Dondozo,SVP012,Pixel Cosmos,US/UK,,,,,,Scarlet & Violet - 3-Pack Blister (Reprint),placeholders.csv:36
SVP,SVP,Promo Cards,Dondozo,SVP012,Smooth Cosmos,US/UK,,,,,,Scarlet & Violet - 3-Pack Blister,placeholders.csv:35
SVP,SVP,Promo Cards,Miraidon,SVP013,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Elite Trainer Box,placeholders.csv:37
SVP,SVP,Promo Cards,Miraidon,SVP013,Pokemon Center Stamp,US/UK,,,,,,Scarlet & Violet - Pokemon Center ETB,placeholders.csv:38
SVP,SVP,Promo Cards,Koraidon,SVP014,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Elite Trainer Box,placeholders.csv:39
SVP,SVP,Promo Cards,Koraidon,SVP014,Pokemon Center Stamp,US/UK,,,,,,Scarlet & Violet - Pokemon Center ETB,placeholders.csv:40
SVP,SVP,Promo Cards,Flaaffy,SVP015,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Ampharos ex Battle Deck,placeholders.csv:51
SVP,SVP,Promo Cards,Ampharos ex,SVP016,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Ampharos ex Battle Deck,placeholders.csv:52
SVP,SVP,Promo Cards,Lucario ex,SVP017,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Lucario ex Battle Deck,placeholders.csv:54
SVP,SVP,Promo Cards,Cyclizar ex,SVP018,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Cyclizar ex Box,placeholders.csv:58
SVP,SVP,Promo Cards,Smoliv,SVP023,Pixel Cosmos,US/UK,,,,,,Paldea Evolved - Single Pack Blister (Reprint),placeholders.csv:75
SVP,SVP,Promo Cards,Smoliv,SVP023,Smooth Cosmos,US/UK,,,,,,Paldea Evolved - Single Pack Blister,placeholders.csv:74
SVP,SVP,Promo Cards,Growlithe,SVP024,Pixel Cosmos,US/UK,,,,,,Paldea Evolved - Single Pack Blister (Reprint),placeholders.csv:77
SVP,SVP,Promo Cards,Growlithe,SVP024,Smooth Cosmos,US/UK,,,,,,Paldea Evolved - Single Pack Blister,placeholders.csv:76
SVP,SVP,Promo Cards,Tinkatink,SVP025,Smooth Cosmos,US/UK,,,,,,Paldea Evolved - 3-Pack Blister,placeholders.csv:78
SVP,SVP,Promo Cards,Varoom,SVP026,Pixel Cosmos,US/UK,,,,,,Paldea Evolved - 3-Pack Blister (Reprint),placeholders.csv:80
SVP,SVP,Promo Cards,Varoom,SVP026,Smooth Cosmos,US/UK,,,,,,Paldea Evolved - 3-Pack Blister,placeholders.csv:79
SVP,SVP,Promo Cards,Pikachu,SVP027,Black Star Promo,US/UK,,,,,,Paldea Evolved - Elite Trainer Box,placeholders.csv:91
SVP,SVP,Promo Cards,Pikachu,SVP027,Pokemon Center Stamp,US/UK,,,,,,Paldea Evolved - Pokemon Center ETB,placeholders.csv:92
SVP,SVP,Promo Cards,Miraidon ex,SVP028,Black Star Promo,US/UK,,,,,,Paldea Evolved - Paldea Legends Tin,placeholders.csv:93
SVP,SVP,Promo Cards,Koraidon ex,SVP029,Black Star Promo,US/UK,,,,,,Paldea Evolved - Paldea Legends Tin,placeholders.csv:94
SVP,SVP,Promo Cards,Chien-Pao ex,SVP030,Black Star Promo,US/UK,,,,,,Paldea Evolved - Chien-Pao ex Battle Deck,placeholders.csv:107
SVP,SVP,Promo Cards,Tinkaton ex,SVP031,Black Star Promo,US/UK,,,,,,Paldea Evolved - Tinkaton ex Battle Deck,placeholders.csv:109
SVP,SVP,Promo Cards,Annihilape ex,SVP032,Black Star Promo,US/UK,,,,,,Paldea Evolved - Annihilape ex Box,placeholders.csv:110
SVP,SVP,Promo Cards,Meowscarada ex,SVP033,Black Star Promo,US/UK,,,,,,Obsidian Flames - Paldea Partners Tin,placeholders.csv:159
SVP,SVP,Promo Cards,Skeledirge ex,SVP034,Black Star Promo,US/UK,,,,,,Obsidian Flames - Paldea Partners Tin,placeholders.csv:160
SVP,SVP,Promo Cards,Quaquaval ex,SVP035,Black Star Promo,US/UK,,,,,,Obsidian Flames - Paldea Partners Tin,placeholders.csv:161
SVP,SVP,Promo Cards,Pawmi,SVP040,Smooth Cosmos,US/UK,,,,,,Obsidian Flames - Single Pack Blister,placeholders.csv:132
SVP,SVP,Promo Cards,Paldean Wooper,SVP041,Smooth Cosmos,US/UK,,,,,,Obsidian Flames - Single Pack Blister,placeholders.csv:133
SVP,SVP,Promo Cards,Houndstone,SVP042,Pixel Cosmos,US/UK,,,,,,Obsidian Flames - 3-Pack Blister (Reprint),placeholders.csv:135
SVP,SVP,Promo Cards,Houndstone,SVP042,Smooth Cosmos,US/UK,,,,,,Obsidian Flames - 3-Pack Blister,placeholders.csv:134
SVP,SVP,Promo Cards,Eevee,SVP043,Pixel Cosmos,US/UK,,,,,,Obsidian Flames - 3-Pack Blister (Reprint),placeholders.csv:137
SVP,SVP,Promo Cards,Eevee,SVP043,Smooth Cosmos,US/UK,,,,,,Obsidian Flames - 3-Pack Blister,placeholders.csv:136
SVP,SVP,Promo Cards,Charmander,SVP044,Black Star Promo,US/UK,,,,,,Obsidian Flames - Elite Trainer Box,placeholders.csv:148
SVP,SVP,Promo Cards,Charmander,SVP044,Pokemon Center Stamp,US/UK,,,,,,Obsidian Flames - Pokemon Center ETB,placeholders.csv:149
SVP,SVP,Promo Cards,Bulbasaur,SVP046,Pixel Cosmos,US/UK,,,,,,151 - Poster Collection (Reprint),placeholders.csv:171
SVP,SVP,Promo Cards,Bulbasaur,SVP046,Smooth Cosmos,US/UK,,,,,,151 - Poster Collection,placeholders.csv:170
SVP,SVP,Promo Cards,Charmander,SVP047,Pixel Cosmos,US/UK,,,,,,151 - Poster Collection (Reprint),placeholders.csv:173
SVP,SVP,Promo Cards,Charmander,SVP047,Smooth Cosmos,US/UK,,,,,,151 - Poster Collection,placeholders.csv:172
SVP,SVP,Promo Cards,Squirtle,SVP048,Pixel Cosmos,US/UK,,,,,,151 - Poster Collection (Reprint),placeholders.csv:175
SVP,SVP,Promo Cards,Squirtle,SVP048,Smooth Cosmos,US/UK,,,,,,151 - Poster Collection,placeholders.csv:174
SVP,SVP,Promo Cards,Zapdos ex,SVP049,Black Star Promo,US/UK,,,,,,151 - Zapdos ex Collection,placeholders.csv:182
SVP,SVP,Promo Cards,Alakazam ex,SVP050,Black Star Promo,US/UK,,,,,,151 - Alakazam ex Collection,placeholders.csv:185
SVP,SVP,Promo Cards,Snorlax,SVP051,Black Star Promo,US/UK,,,,,,151 - Elite Trainer Box,placeholders.csv:168
SVP,SVP,Promo Cards,Snorlax,SVP051,Pokemon Center Stamp,US/UK,,,,,,151 - Pokemon Center ETB,placeholders.csv:169
SVP,SVP,Promo Cards,Mewtwo,SVP052,Black Star Promo,US/UK,,,,,,151 - Ultra-Premium Collection,placeholders.csv:189
SVP,SVP,Promo Cards,Mew ex,SVP053,Black Star Promo,US/UK,,,,,,151 - Ultra-Premium Collection,placeholders.csv:190
SVP,SVP,Promo Cards,Greninja ex,SVP054,Black Star Promo,US/UK,,,,,,151 - Greninja ex Battle Deck | Surging Sparks - Greninja ex Ultra-Premium Collection,placeholders.csv:192 | placeholders.csv:532
SVP,SVP,Promo Cards,Kangaskhan ex,SVP055,Black Star Promo,US/UK,,,,,,151 - Kangaskhan ex Battle Deck,placeholders.csv:193
SVP,SVP,Promo Cards,Charizard ex,SVP056,Black Star Promo,US/UK,,,,,,151 - Charizard ex Premium Collection,placeholders.csv:197
SVP,SVP,Promo Cards,Pineco,SVP061,Cosmos Holo,US/UK,,,,,,Paradox Rift - Single Pack Blister,placeholders.csv:215
SVP,SVP,Promo Cards,Sinistea,SVP062,Cosmos Holo,US/UK,,,,,,Paradox Rift - Single Pack Blister,placeholders.csv:216
SVP,SVP,Promo Cards,Cetitan,SVP063,Cosmos Holo,US/UK,,,,,,Paradox Rift - 3-Pack Blister,placeholders.csv:217
SVP,SVP,Promo Cards,Arctibax,SVP064,Cosmos Holo,US/UK,,,,,,Paradox Rift - 3-Pack Blister,placeholders.csv:218
SVP,SVP,Promo Cards,Scream Tail,SVP065,Black Star Promo,US/UK,,,,,,Paradox Rift - Elite Trainer Box,placeholders.csv:229
SVP,SVP,Promo Cards,Scream Tail,SVP065,Pokemon Center Stamp,US/UK,,,,,,Paradox Rift - Pokemon Center ETB,placeholders.csv:230
SVP,SVP,Promo Cards,Iron Bundle,SVP066,Black Star Promo,US/UK,,,,,,Paradox Rift - Elite Trainer Box,placeholders.csv:231
SVP,SVP,Promo Cards,Iron Bundle,SVP066,Pokemon Center Stamp,US/UK,,,,,,Paradox Rift - Pokemon Center ETB,placeholders.csv:232
SVP,SVP,Promo Cards,Roaring Moon ex,SVP067,Black Star Promo,US/UK,,,,,,Paradox Rift - Roaring Moon ex Box,placeholders.csv:251
SVP,SVP,Promo Cards,Iron Valiant ex,SVP068,Black Star Promo,US/UK,,,,,,Paradox Rift - Iron Valiant ex Box,placeholders.csv:254
SVP,SVP,Promo Cards,Fidough,SVP069,Black Star Promo,US/UK,,,,,,Paldean Fates - Tech Sticker Collection,placeholders.csv:269
SVP,SVP,Promo Cards,Greavard,SVP070,Black Star Promo,US/UK,,,,,,Paldean Fates - Tech Sticker Collection,placeholders.csv:270
SVP,SVP,Promo Cards,Maschiff,SVP071,Black Star Promo,US/UK,,,,,,Paldean Fates - Tech Sticker Collection,placeholders.csv:271
SVP,SVP,Promo Cards,Great Tusk ex,SVP072,Black Star Promo,US/UK,,,,,,Paldean Fates - Paldean Fates Tin,placeholders.csv:272
SVP,SVP,Promo Cards,Iron Treads ex,SVP073,Black Star Promo,US/UK,,,,,,Paldean Fates - Paldean Fates Tin,placeholders.csv:273
SVP,SVP,Promo Cards,Charizard ex,SVP074,Black Star Promo,US/UK,,,,,,Paldean Fates - Paldean Fates Tin,placeholders.csv:274
SVP,SVP,Promo Cards,Mimikyu,SVP075,Black Star Promo,US/UK,,,,,,Paldean Fates - Elite Trainer Box,placeholders.csv:267
SVP,SVP,Promo Cards,Mimikyu,SVP075,Pokemon Center Stamp,US/UK,,,,,,Paldean Fates - Pokemon Center ETB,placeholders.csv:268
SVP,SVP,Promo Cards,Sprigatito,SVP076,Black Star Promo,US/UK,,,,,,Paldean Fates - Meowscarada ex Premium Collection,placeholders.csv:275
SVP,SVP,Promo Cards,Floragato,SVP077,Black Star Promo,US/UK,,,,,,Paldean Fates - Meowscarada ex Premium Collection,placeholders.csv:276
SVP,SVP,Promo Cards,Meowscarada ex,SVP078,Black Star Promo,US/UK,,,,,,Paldean Fates - Meowscarada ex Premium Collection,placeholders.csv:277
SVP,SVP,Promo Cards,Fuecoco,SVP079,Black Star Promo,US/UK,,,,,,Paldean Fates - Skeledirge ex Premium Collection,placeholders.csv:278
SVP,SVP,Promo Cards,Crocalor,SVP080,Black Star Promo,US/UK,,,,,,Paldean Fates - Skeledirge ex Premium Collection,placeholders.csv:279
SVP,SVP,Promo Cards,Skeledirge ex,SVP081,Black Star Promo,US/UK,,,,,,Paldean Fates - Skeledirge ex Premium Collection,placeholders.csv:280
SVP,SVP,Promo Cards,Quaxly,SVP082,Black Star Promo,US/UK,,,,,,Paldean Fates - Quaquaval ex Premium Collection,placeholders.csv:281
SVP,SVP,Promo Cards,Quaxwell,SVP083,Black Star Promo,US/UK,,,,,,Paldean Fates - Quaquaval ex Premium Collection,placeholders.csv:282
SVP,SVP,Promo Cards,Quaquaval ex,SVP084,Black Star Promo,US/UK,,,,,,Paldean Fates - Quaquaval ex Premium Collection,placeholders.csv:283
SVP,SVP,Promo Cards,Mabosstiff ex,SVP086,Black Star Promo,US/UK,,,,,,Paldean Fates - Mabosstiff ex Box | Paldean Fates - Mabosstiff ex Showcase,placeholders.csv:284 | placeholders.csv:286
SVP,SVP,Promo Cards,Sprigatito ex,SVP087,Black Star Promo,US/UK,,,,,,Paldean Fates - Paldea Adventure Chest,placeholders.csv:294
SVP,SVP,Promo Cards,Pikachu,SVP088,Black Star Promo,US/UK,,,,,,Paldean Fates - Paldea Adventure Chest,placeholders.csv:295
SVP,SVP,Promo Cards,Carvanha,SVP093,Cosmos Holo,US/UK,,,,,,Temporal Forces - Single Pack Blister,placeholders.csv:315
SVP,SVP,Promo Cards,Bellibolt,SVP094,Cosmos Holo,US/UK,,,,,,Temporal Forces - Single Pack Blister,placeholders.csv:316
SVP,SVP,Promo Cards,Cleffa,SVP095,Cosmos Holo,US/UK,,,,,,Temporal Forces - 3-Pack Blister,placeholders.csv:317
SVP,SVP,Promo Cards,Cyclizar,SVP096,Cosmos Holo,US/UK,,,,,,Temporal Forces - 3-Pack Blister,placeholders.csv:318
SVP,SVP,Promo Cards,Flutter Mane,SVP097,Black Star Promo,US/UK,,,,,,Temporal Forces - Elite Trainer Box,placeholders.csv:329
SVP,SVP,Promo Cards,Flutter Mane,SVP097,Pokemon Center Stamp,US/UK,,,,,,Temporal Forces - Pokemon Center ETB,placeholders.csv:330
SVP,SVP,Promo Cards,Iron Thorns,SVP098,Black Star Promo,US/UK,,,,,,Temporal Forces - Elite Trainer Box,placeholders.csv:331
SVP,SVP,Promo Cards,Iron Thorns,SVP098,Pokemon Center Stamp,US/UK,,,,,,Temporal Forces - Pokemon Center ETB,placeholders.csv:332
SVP,SVP,Promo Cards,Shroodle,SVP099,Cosmos Holo,US/UK,,,,,,Temporal Forces - Grafaiai ex Box,placeholders.csv:337
SVP,SVP,Promo Cards,Grafaiai ex,SVP100,Black Star Promo,US/UK,,,,,,Temporal Forces - Grafaiai ex Box,placeholders.csv:338
SVP,SVP,Promo Cards,Oddish,SVP102,Black Star Promo,US/UK,,,,,,Paradox Rift - Hobby Co-Op Marketing Kit,placeholders.csv:214
SVP,SVP,Promo Cards,Houndoom ex,SVP103,Black Star Promo,US/UK,,,,,,Temporal Forces - Houndoom ex Battle Deck,placeholders.csv:339
SVP,SVP,Promo Cards,Melmetal ex,SVP104,Black Star Promo,US/UK,,,,,,Temporal Forces - Melmetal ex Battle Deck,placeholders.csv:340
SVP,SVP,Promo Cards,Armarouge ex,SVP105,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Battle Academy 2024,placeholders.csv:397
SVP,SVP,Promo Cards,Pikachu ex,SVP106,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Battle Academy 2024,placeholders.csv:398
SVP,SVP,Promo Cards,Mareep,SVP107,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Battle Academy 2024,placeholders.csv:399
SVP,SVP,Promo Cards,Flaaffy,SVP108,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Battle Academy 2024,placeholders.csv:400
SVP,SVP,Promo Cards,Ampharos,SVP109,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Battle Academy 2024,placeholders.csv:401
SVP,SVP,Promo Cards,Darkrai ex,SVP110,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Battle Academy 2024,placeholders.csv:402
SVP,SVP,Promo Cards,Pawniard,SVP111,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Battle Academy 2024,placeholders.csv:403
SVP,SVP,Promo Cards,Bisharp,SVP112,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Battle Academy 2024,placeholders.csv:404
SVP,SVP,Promo Cards,Kingambit,SVP113,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Battle Academy 2024,placeholders.csv:405
SVP,SVP,Promo Cards,Picnicker,SVP114,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Battle Academy 2024,placeholders.csv:406
SVP,SVP,Promo Cards,Picnicker,SVP114,Non Holo,US/UK,,,,,,Twilight Masquerade - Build & Battle Box,placeholders.csv:365
SVP,SVP,Promo Cards,Toxel,SVP119,Cosmos Holo,US/UK,,,,,,Twilight Masquerade - Single Pack Blister,placeholders.csv:379
SVP,SVP,Promo Cards,Pupitar,SVP120,Cosmos Holo,US/UK,,,,,,Twilight Masquerade - Single Pack Blister,placeholders.csv:380
SVP,SVP,Promo Cards,Revavroom,SVP121,Cosmos Holo,US/UK,,,,,,Twilight Masquerade - 3-Pack Blister,placeholders.csv:381
SVP,SVP,Promo Cards,Snorlax,SVP122,Cosmos Holo,US/UK,,,,,,Twilight Masquerade - 3-Pack Blister,placeholders.csv:382
SVP,SVP,Promo Cards,Teal Mask Ogerpon,SVP123,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Elite Trainer Box,placeholders.csv:393
SVP,SVP,Promo Cards,Teal Mask Ogerpon,SVP123,Pokemon Center Stamp,US/UK,,,,,,Twilight Masquerade - Pokemon Center ETB,placeholders.csv:394
SVP,SVP,Promo Cards,Iono,SVP124,Black Star Promo,US/UK,,,,,,Temporal Forces - Iono Premium Tournament Collection,placeholders.csv:346
SVP,SVP,Promo Cards,Armarouge ex,SVP125,Black Star Promo,US/UK,,,,,,Temporal Forces - Armarouge ex Premium Collection,placeholders.csv:351
SVP,SVP,Promo Cards,Palafin ex,SVP126,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Palafin ex Box,placeholders.csv:408
SVP,SVP,Promo Cards,Walking Wake ex,SVP127,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Paradox Clash Tin,placeholders.csv:395
SVP,SVP,Promo Cards,Iron Leaves ex,SVP128,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Paradox Clash Tin,placeholders.csv:396
SVP,SVP,Promo Cards,Pecharunt,SVP129,Black Star Promo,US/UK,,,,,,Shrouded Fable - Elite Trainer Box,placeholders.csv:440
SVP,SVP,Promo Cards,Pecharunt,SVP129,Pokemon Center Stamp,US/UK,,,,,,Shrouded Fable - Pokemon Center ETB,placeholders.csv:441
SVP,SVP,Promo Cards,Kingambit,SVP130,Black Star Promo,US/UK,,,,,,Shrouded Fable - Kingambit Illustration Collection,placeholders.csv:419
SVP,SVP,Promo Cards,Kingdra ex,SVP131,Black Star Promo,US/UK,,,,,,Shrouded Fable - Kingdra ex Special Illustration Collection,placeholders.csv:422
SVP,SVP,Promo Cards,Greninja ex,SVP132,Black Star Promo,US/UK,,,,,,Shrouded Fable - Greninja ex Special Illustration Collection,placeholders.csv:425
SVP,SVP,Promo Cards,Horsea,SVP137,Cosmos Holo,US/UK,,,,,,Stellar Crown - Single Pack Blister,placeholders.csv:479
SVP,SVP,Promo Cards,Porygon2,SVP138,Cosmos Holo,US/UK,,,,,,Stellar Crown - Single Pack Blister,placeholders.csv:480
SVP,SVP,Promo Cards,Latias,SVP139,Cosmos Holo,US/UK,,,,,,Stellar Crown - 3-Pack Blister,placeholders.csv:481
SVP,SVP,Promo Cards,Tinkaton,SVP140,Pixel Cosmos,US/UK,,,,,,Stellar Crown - 3-Pack Blister,placeholders.csv:482
SVP,SVP,Promo Cards,Tinkaton,SVP140,Smooth Cosmos,US/UK,,,,,,Stellar Crown - 3-Pack Blister,placeholders.csv:483
SVP,SVP,Promo Cards,Noctowl,SVP141,Black Star Promo,US/UK,,,,,,Stellar Crown - Elite Trainer Box,placeholders.csv:494
SVP,SVP,Promo Cards,Noctowl,SVP141,Pokemon Center Stamp,US/UK,,,,,,Stellar Crown - Pokemon Center ETB,placeholders.csv:495
SVP,SVP,Promo Cards,Victini ex,SVP142,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Victini ex Battle Deck,placeholders.csv:413
SVP,SVP,Promo Cards,Miraidon ex,SVP143,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Miraidon ex Battle Deck,placeholders.csv:414
SVP,SVP,Promo Cards,Gouging Fire ex,SVP144,Black Star Promo,US/UK,,,,,,Stellar Crown - Paradox Destinies Tin,placeholders.csv:472
SVP,SVP,Promo Cards,Raging Bolt ex,SVP145,Black Star Promo,US/UK,,,,,,Stellar Crown - Paradox Destinies Tin,placeholders.csv:473
SVP,SVP,Promo Cards,Iron Crown ex,SVP146,Black Star Promo,US/UK,,,,,,Stellar Crown - Paradox Destinies Tin,placeholders.csv:474
SVP,SVP,Promo Cards,Iron Boulder ex,SVP147,Black Star Promo,US/UK,,,,,,Stellar Crown - Paradox Destinies Tin,placeholders.csv:475
SVP,SVP,Promo Cards,Miraidon,SVP148,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Battle Academy 2024,placeholders.csv:407
SVP,SVP,Promo Cards,Pecharunt,SVP149,Black Star Promo,US/UK,,,,,,Shrouded Fable - Three-Booster Pack and Promo Card Blister,placeholders.csv:428
SVP,SVP,Promo Cards,Wooper,SVP155,Cosmos Holo,US/UK,,,,,,Surging Sparks - Single Pack Blister,placeholders.csv:539
SVP,SVP,Promo Cards,Quagsire,SVP156,Cosmos Holo,US/UK,,,,,,Surging Sparks - 3-Pack Blister,placeholders.csv:541
SVP,SVP,Promo Cards,Zapdos,SVP157,Cosmos Holo,US/UK,,,,,,Surging Sparks - 3-Pack Blister,placeholders.csv:542
SVP,SVP,Promo Cards,Pachirisu,SVP158,Cosmos Holo,US/UK,,,,,,Surging Sparks - Single Pack Blister,placeholders.csv:540
SVP,SVP,Promo Cards,Magneton,SVP159,Black Star Promo,US/UK,,,,,,Surging Sparks - Elite Trainer Box,placeholders.csv:553
SVP,SVP,Promo Cards,Magneton,SVP159,Pokemon Center Stamp,US/UK,,,,,,Surging Sparks - Pokemon Center ETB,placeholders.csv:554
SVP,SVP,Promo Cards,Squawkabilly ex,SVP160,Black Star Promo,US/UK,,,,,,Stellar Crown - Trainer's Toolkit 2024,placeholders.csv:518
SVP,SVP,Promo Cards,Charizard ex,SVP161,Black Star Promo,US/UK,,,,,,Stellar Crown - Charizard ex Super-Premium Collection,placeholders.csv:507
SVP,SVP,Promo Cards,Houndstone ex,SVP162,Black Star Promo,US/UK,,,,,,Stellar Crown - Houndstone ex Box,placeholders.csv:510
SVP,SVP,Promo Cards,Cinderace ex,SVP163,Black Star Promo,US/UK,,,,,,Surging Sparks - Terapagos ex Ultra-Premium Collection,placeholders.csv:575
SVP,SVP,Promo Cards,Lapras ex,SVP164,Black Star Promo,US/UK,,,,,,Surging Sparks - Terapagos ex Ultra-Premium Collection,placeholders.csv:576
SVP,SVP,Promo Cards,Terapagos ex,SVP165,Black Star Promo,US/UK,,,,,,Surging Sparks - Terapagos ex Ultra-Premium Collection,placeholders.csv:577
SVP,SVP,Promo Cards,Teal Mask Ogerpon ex,SVP166,Black Star Promo,US/UK,,,,,,Surging Sparks - Ogerpon ex Premium Collection,placeholders.csv:560
SVP,SVP,Promo Cards,Flareon,SVP167,Cosmos Holo,US/UK,,,,,,Prismatic Evolutions - Poster Collection,placeholders.csv:591
SVP,SVP,Promo Cards,Vaporeon,SVP168,Cosmos Holo,US/UK,,,,,,Prismatic Evolutions - Poster Collection,placeholders.csv:592
SVP,SVP,Promo Cards,Jolteon,SVP169,Cosmos Holo,US/UK,,,,,,Prismatic Evolutions - Poster Collection,placeholders.csv:593
SVP,SVP,Promo Cards,Leafeon,SVP170,Cosmos Holo,US/UK,,,,,,Prismatic Evolutions - Tech Sticker Collection,placeholders.csv:594
SVP,SVP,Promo Cards,Glaceon,SVP171,Cosmos Holo,US/UK,,,,,,Prismatic Evolutions - Tech Sticker Collection,placeholders.csv:595
SVP,SVP,Promo Cards,Sylveon,SVP172,Cosmos Holo,US/UK,,,,,,Prismatic Evolutions - Tech Sticker Collection,placeholders.csv:596
SVP,SVP,Promo Cards,Eevee,SVP173,Black Star Promo,US/UK,,,,,,Prismatic Evolutions - Elite Trainer Box,placeholders.csv:589
SVP,SVP,Promo Cards,Eevee,SVP173,Pokemon Center Stamp,US/UK,,,,,,Prismatic Evolutions - Pokemon Center ETB,placeholders.csv:590
